timestamp,repositorio,tratamento,repeticao,sucesso,tempo_resposta_ms,tamanho_resposta_bytes
2026-06-24T18:58:07.276384,rails/rails,GraphQL,21,True,567.3714000004111,936
2026-06-24T18:58:09.926125,nodejs/node,GraphQL,6,True,566.4746000002197,835
2026-06-24T18:58:10.794075,facebook/react,GraphQL,7,True,586.389500000223,801
2026-06-24T18:58:15.353267,django/django,GraphQL,10,True,667.2262000001865,209
2026-06-24T18:58:18.119462,angular/angular,GraphQL,19,True,732.7504999993835,925
2026-06-24T18:58:21.053532,microsoft/vscode,GraphQL,24,True,762.5828999998703,766
2026-06-24T18:58:22.117508,vuejs/vue,GraphQL,3,True,790.6760000005306,990
2026-06-24T18:58:24.947063,facebook/react,GraphQL,15,True,704.2618999994374,801
2026-06-24T18:58:28.514799,tensorflow/tensorflow,GraphQL,27,True,685.8969000004436,1006
2026-06-24T18:58:33.105336,vuejs/vue,GraphQL,8,True,702.3087999996278,990
2026-06-24T18:58:34.110545,angular/angular,GraphQL,11,True,580.277400000341,925
2026-06-24T18:58:36.872353,tensorflow/tensorflow,GraphQL,28,True,584.2910000001211,1006
2026-06-24T18:58:41.066945,torvalds/linux,GraphQL,29,True,505.759699999544,176
2026-06-24T18:58:41.874377,pytorch/pytorch,GraphQL,4,True,549.6257000004334,1020
2026-06-24T18:58:45.922419,vuejs/vue,GraphQL,23,True,610.900099999526,990
2026-06-24T18:58:46.836969,facebook/react,GraphQL,11,True,728.5184000002118,801
2026-06-24T18:58:51.644317,nodejs/node,GraphQL,28,True,531.4165999998295,835
2026-06-24T18:58:52.477298,facebook/react,GraphQL,23,True,665.424200000416,801
2026-06-24T18:58:57.496689,vuejs/vue,GraphQL,22,True,536.1898999999539,990
2026-06-24T18:58:59.980835,rails/rails,GraphQL,16,True,535.6888999995135,936
2026-06-24T18:59:00.817834,facebook/react,GraphQL,16,True,697.7261000001818,801
2026-06-24T18:59:03.979242,angular/angular,GraphQL,26,True,640.5681000005643,925
2026-06-24T18:59:08.371068,vuejs/vue,GraphQL,25,True,565.6080999997357,990
2026-06-24T18:59:09.239331,angular/angular,GraphQL,3,True,560.7973999995011,925
2026-06-24T18:59:11.680365,torvalds/linux,GraphQL,15,True,526.3519999998607,176
2026-06-24T18:59:13.826892,pytorch/pytorch,GraphQL,22,True,556.3091000003624,1020
2026-06-24T18:59:16.568254,facebook/react,GraphQL,25,True,649.8048000003109,801
2026-06-24T18:59:21.753811,pytorch/pytorch,GraphQL,9,True,702.8591999996934,1020
2026-06-24T18:59:22.758974,facebook/react,GraphQL,20,True,684.4849999997678,801
2026-06-24T18:59:27.854456,tensorflow/tensorflow,GraphQL,20,True,727.2678999997879,1006
2026-06-24T18:59:28.882377,rails/rails,GraphQL,25,True,574.64119999986,936
2026-06-24T18:59:33.284445,tensorflow/tensorflow,GraphQL,29,True,616.2180999999691,1006
2026-06-24T18:59:35.880455,vuejs/vue,GraphQL,26,True,549.9957000001814,990
2026-06-24T18:59:36.732305,vuejs/vue,GraphQL,2,True,687.0179000006829,990
2026-06-24T18:59:39.203979,angular/angular,GraphQL,28,True,561.5313999996943,925
2026-06-24T18:59:43.609595,nodejs/node,GraphQL,4,True,560.7221000000209,835
2026-06-24T18:59:44.472572,django/django,GraphQL,22,True,658.2687999998598,209
2026-06-24T18:59:50.467366,facebook/react,GraphQL,19,True,560.519500000737,801
2026-06-24T18:59:52.974662,pytorch/pytorch,GraphQL,6,True,696.4988999998241,1020
2026-06-24T18:59:53.973761,nodejs/node,GraphQL,2,True,589.526200000364,835
2026-06-24T18:59:56.578265,angular/angular,GraphQL,12,True,710.0522000000637,925
2026-06-24T18:59:59.354219,torvalds/linux,GraphQL,28,True,609.9779000005583,176
2026-06-24T19:00:04.052483,microsoft/vscode,GraphQL,21,True,781.2684999998964,766
